Symbol,Dividend,Price,52-week low,52-week high,P/E,Dividend Yield
AAPL,0.88,173.28,116.21,182.94,30.87,0.0051
ABBV,5.64,135.87,101.8117,138.15,32.34,0.0415
ADP,4.16,228.75,159.31,248.96,36.18,0.0182
AES,0.632,23.06,22.6,29.07,30.09,0.0274
AGNC,1.44,15.35,14.415,18.84,5.72,0.0941
AVGO,16.4,596.37,419.14,677.76,39.73,0.0275
BGX,0.936,14.74,13.58,15.5935,--,0.0635
BRMK,0.84,9.79,8.85,11.1,16.17,0.0858
BXMT,2.48,31.91,26.3065,34.04,12.43,0.0777
CAT,4.44,228.94,179.3401,246.69,24.86,0.0194
CIM,1.32,14.75,10,16.85,5.1,0.0895
CSWC,1.88,24.7,18.033,28.41,9.45,0.0761
CVX,5.36,128.96,84.57,129.2,25.02,0.0416
DUK,3.94,104.04,85.56,108.38,26.82,0.0379
ED,3.1,83.52,65.56,86.25,24.93,0.0371
EMR,2.06,97.47,78.33,105.99,25.47,0.0211
ETV,1.3296,16.36,14.77,16.86,4.44,0.0813
ETW,0.8724,11.05,9.51,11.37,--,0.0790
ETY,1.1148,14.69,11.89,15.06,3.89,0.0759
HON,3.92,217.2,194.55,236.86,28,0.0180
HP,1,30.4,20.93,36.26,--,0.0329
HTGC,1.32,17.86,14.485,18.2,6.36,0.0749
IGD,0.48,6.26,5.24,6.37,4.98,0.0767
INTC,1.39,55.8,47.87,68.49,10.81,0.0250
ITW,4.88,243.84,192.89,249.8121,28.37,0.0200
JNJ,4.24,167.6,151.47,179.92,25.09,0.0253
KMB,4.56,143.2,125.27,145.79,24.37,0.0318
LMT,11.2,373.65,319.81,396.99,17.19,0.0301
MAIN,2.58,44.54,31.32,47.13,9.55,0.0585
MCD,5.52,258,202.73,271.15,26.6,0.0214
MRK,2.76,81.4,15.32,91.4,32.15,0.0339
MSFT,2.48,310.2,212.03,349.67,34.68,0.0080
NLY,0.88,7.94,7.67,9.64,4.1,0.1108
NRZ,1,11.18,8.98,11.81,8.48,0.0898
NYMT,0.4,3.78,3.51,4.935,7.49,0.1058
OKE,3.74,62.61,38.9,66.78,19.61,0.0597
OPP,1.8708,14.21,13.81,16.36,5.54,0.1317
OXLC,0.9,8.1,5.73,8.53,2.54,0.1118
PBCT,0.73,20.98,13.36,21.44,30.96,0.0341
PDI,2.646,25.66,24.54,29.75,5.35,0.1031
PFE,1.6,55.03,33.36,61.71,16.55,0.0291
PFL,0.9768,10.56,10.49,13.3,--,0.0925
PFN,0.8616,9.31,9.2,11.45,5.3,0.0925
QYLD,2.58,21.94,21.25,23.58,--,0.1189
RA,2.388,21.83,18.23,22.7,5.48,0.1094
RTX,2.04,92.48,65.02,92.48,41.51,0.0221
SO,2.64,68.67,56.69,69.23,24.46,0.0385
STWD,1.92,25.36,18.54,27.005,15.94,0.0757
T,2.08,27.18,22.02,33.88,229.29,0.0765
VOO,5.4367,427.23,338.57,441.26,--,0.0127
VXF,2.0633,173.04,165.11,200.5831,--,0.0119
VYM,3.0961,114.65,90.62,115.66,--,0.0270
VZ,2.56,53.32,49.685,59.85,10.02,0.0480
